,0
0,Harry Potter and the Philosopher's Stone by J. K. Rowling
1,The Little Prince by Antoine de Saint-Exupéry
2,Dream of the Red Chamber by Cao Xueqin
3,The Hobbit by J. R. R. Tolkien
4,And Then There Were None by Agatha Christie
5,"The Lion, the Witch and the Wardrobe by C. S. Lewis"
6,She: A History of Adventure by H. Rider Haggard
7,The Adventures of Pinocchio (Le avventure di Pinocchio) by Carlo Collodi
8,The Da Vinci Code by Dan Brown
9,Harry Potter and the Chamber of Secrets by J. K. Rowling
10,Harry Potter and the Prisoner of Azkaban by J. K. Rowling
11,Harry Potter and the Goblet of Fire by J. K. Rowling
12,Harry Potter and the Order of the Phoenix by J. K. Rowling
13,Harry Potter and the Half-Blood Prince by J. K. Rowling
14,Harry Potter and the Deathly Hallows by J. K. Rowling
15,The Alchemist (O Alquimista) by Paulo Coelho
16,The Catcher in the Rye by J. D. Salinger
17,The Bridges of Madison County by Robert James Waller
18,Ben-Hur: A Tale of the Christ by Lew Wallace
19,You Can Heal Your Life by Louise Hay
20,One Hundred Years of Solitude (Cien años de soledad) by Gabriel García Márquez
21,Lolita by Vladimir Nabokov
22,Heidi by Johanna Spyri
23,The Common Sense Book of Baby and Child Care by Benjamin Spock
24,Anne of Green Gables by Lucy Maud Montgomery
25,Black Beauty by Anna Sewell
26,The Name of the Rose (Il Nome della Rosa) by Umberto Eco
27,The Eagle Has Landed by Jack Higgins
28,Watership Down by Richard Adams
29,The Hite Report by Shere Hite
30,Charlotte's Web by E. B. White; illustrated by Garth Williams
31,The Ginger Man by J. P. Donleavy
32,The Tale of Peter Rabbit by Beatrix Potter
33,Jonathan Livingston Seagull by Richard Bach
34,The Very Hungry Caterpillar by Eric Carle
35,A Message to Garcia by Elbert Hubbard
36,To Kill a Mockingbird by Harper Lee
37,Flowers in the Attic by V. C. Andrews
38,Cosmos by Carl Sagan
39,Sophie's World (Sofies verden) by Jostein Gaarder
40,Angels & Demons by Dan Brown
41,Kane and Abel by Jeffrey Archer
42,How the Steel Was Tempered (Как закалялась сталь) by Nikolai Ostrovsky
43,War and Peace (Война и мир) by Leo Tolstoy
44,The Diary of Anne Frank (Het Achterhuis) by Anne Frank
45,Your Erroneous Zones by Wayne Dyer
46,The Thorn Birds by Colleen McCullough
47,The Purpose Driven Life by Rick Warren
48,The Kite Runner by Khaled Hosseini
49,Valley of the Dolls by Jacqueline Susann
50,The Great Gatsby by F. Scott Fitzgerald
51,Gone with the Wind by Margaret Mitchell
52,Rebecca by Daphne du Maurier
53,Nineteen Eighty-Four by George Orwell
54,The Revolt of Mamie Stover by William Bradford Huie
55,The Girl with the Dragon Tattoo (Män som hatar kvinnor) by Stieg Larsson
56,The Lost Symbol by Dan Brown
